,movies,year,imdb,metascore,nv
1670,Hacksaw Ridge,2016,8.1,71.0,441981
1671,Zootopia,2016,8.0,78.0,438297
1672,Split,2016,7.3,62.0,431272
1673,Fantastic Beasts and Where to Find Them,2016,7.3,66.0,414061
1674,10 Cloverfield Lane,2016,7.2,76.0,293109
1675,The Nice Guys,2016,7.4,70.0,283833
1676,Moonlight,2016,7.4,99.0,276917
1677,Moana,2016,7.6,81.0,276817
1678,The Jungle Book,2016,7.4,77.0,260385
1679,Manchester by the Sea,2016,7.8,96.0,250037
1680,Finding Dory,2016,7.3,77.0,243167
1681,Nocturnal Animals,2016,7.5,67.0,241920
1682,Sully,2016,7.4,74.0,241066
1683,Star Trek Beyond,2016,7.1,68.0,229911
1684,The Conjuring 2,2016,7.3,65.0,227886
1685,Don't Breathe,2016,7.1,71.0,224821
1686,Lion,2016,8.0,69.0,216269
1687,Hell or High Water,2016,7.6,88.0,206034
1688,Hidden Figures,2016,7.8,74.0,203449
1689,Kimi no na wa.,2016,8.4,79.0,200751
1690,Captain Fantastic,2016,7.9,72.0,192901
1691,The Secret Life of Pets,2016,6.5,61.0,184220
1692,Sausage Party,2016,6.1,66.0,177281
1693,Busanhaeng,2016,7.6,72.0,169680
1694,Deadpool,2016,8.0,65.0,910890
1695,Captain America: Civil War,2016,7.8,75.0,671896
1696,Doctor Strange,2016,7.5,72.0,606286
1697,Arrival,2016,7.9,81.0,600949
1698,Rogue One,2016,7.8,65.0,561159
1699,La La Land,2016,8.0,94.0,512139
1700,Hacksaw Ridge,2016,8.1,71.0,441981
1701,Zootopia,2016,8.0,78.0,438297
1702,Split,2016,7.3,62.0,431272
1703,Fantastic Beasts and Where to Find Them,2016,7.3,66.0,414061
1704,10 Cloverfield Lane,2016,7.2,76.0,293109
1705,The Nice Guys,2016,7.4,70.0,283833
1706,Moonlight,2016,7.4,99.0,276917
1707,Moana,2016,7.6,81.0,276817
1708,The Jungle Book,2016,7.4,77.0,260385
1709,Manchester by the Sea,2016,7.8,96.0,250037
1710,Finding Dory,2016,7.3,77.0,243167
1711,Nocturnal Animals,2016,7.5,67.0,241920
1712,Sully,2016,7.4,74.0,241066
1713,Star Trek Beyond,2016,7.1,68.0,229911
1714,The Conjuring 2,2016,7.3,65.0,227886
1715,Don't Breathe,2016,7.1,71.0,224821
1716,Lion,2016,8.0,69.0,216269
1717,Hell or High Water,2016,7.6,88.0,206034
1718,Hidden Figures,2016,7.8,74.0,203449
1719,Kimi no na wa.,2016,8.4,79.0,200751
1720,Captain Fantastic,2016,7.9,72.0,192901
1721,The Secret Life of Pets,2016,6.5,61.0,184220
1722,Sausage Party,2016,6.1,66.0,177281
1723,Busanhaeng,2016,7.6,72.0,169680
1724,Deadpool,2016,8.0,65.0,910890
1725,Captain America: Civil War,2016,7.8,75.0,671896
1726,Doctor Strange,2016,7.5,72.0,606286
1727,Arrival,2016,7.9,81.0,600949
1728,Rogue One,2016,7.8,65.0,561159
1729,La La Land,2016,8.0,94.0,512139
1730,Hacksaw Ridge,2016,8.1,71.0,441981
1731,Zootopia,2016,8.0,78.0,438297
1732,Split,2016,7.3,62.0,431272
1733,Fantastic Beasts and Where to Find Them,2016,7.3,66.0,414061
1734,10 Cloverfield Lane,2016,7.2,76.0,293109
1735,The Nice Guys,2016,7.4,70.0,283833
1736,Moonlight,2016,7.4,99.0,276917
1737,Moana,2016,7.6,81.0,276817
1738,The Jungle Book,2016,7.4,77.0,260385
1739,Manchester by the Sea,2016,7.8,96.0,250037
1740,Finding Dory,2016,7.3,77.0,243167
1741,Nocturnal Animals,2016,7.5,67.0,241920
1742,Sully,2016,7.4,74.0,241066
1743,Star Trek Beyond,2016,7.1,68.0,229911
1744,The Conjuring 2,2016,7.3,65.0,227886
1745,Don't Breathe,2016,7.1,71.0,224821
1746,Lion,2016,8.0,69.0,216269
1747,Hell or High Water,2016,7.6,88.0,206034
1748,Hidden Figures,2016,7.8,74.0,203449
1749,Kimi no na wa.,2016,8.4,79.0,200751
1750,Captain Fantastic,2016,7.9,72.0,192901
1751,The Secret Life of Pets,2016,6.5,61.0,184220
1752,Sausage Party,2016,6.1,66.0,177281
1753,Busanhaeng,2016,7.6,72.0,169680
1754,Deadpool,2016,8.0,65.0,910890
1755,Captain America: Civil War,2016,7.8,75.0,671896
1756,Doctor Strange,2016,7.5,72.0,606286
1757,Arrival,2016,7.9,81.0,600949
1758,Rogue One,2016,7.8,65.0,561159
1759,La La Land,2016,8.0,94.0,512139
1760,Hacksaw Ridge,2016,8.1,71.0,441981
1761,Zootopia,2016,8.0,78.0,438297
1762,Split,2016,7.3,62.0,431272
1763,Fantastic Beasts and Where to Find Them,2016,7.3,66.0,414061
1764,10 Cloverfield Lane,2016,7.2,76.0,293109
1765,The Nice Guys,2016,7.4,70.0,283833
1766,Moonlight,2016,7.4,99.0,276917
1767,Moana,2016,7.6,81.0,276817
1768,The Jungle Book,2016,7.4,77.0,260385
1769,Manchester by the Sea,2016,7.8,96.0,250037
1770,Finding Dory,2016,7.3,77.0,243167
1771,Nocturnal Animals,2016,7.5,67.0,241920
1772,Sully,2016,7.4,74.0,241066
1773,Star Trek Beyond,2016,7.1,68.0,229911
1774,The Conjuring 2,2016,7.3,65.0,227886
1775,Don't Breathe,2016,7.1,71.0,224821
1776,Lion,2016,8.0,69.0,216269
1777,Hell or High Water,2016,7.6,88.0,206034
1778,Hidden Figures,2016,7.8,74.0,203449
1779,Kimi no na wa.,2016,8.4,79.0,200751
1780,Captain Fantastic,2016,7.9,72.0,192901
1781,The Secret Life of Pets,2016,6.5,61.0,184220
1782,Sausage Party,2016,6.1,66.0,177281
1783,Busanhaeng,2016,7.6,72.0,169680
1784,Logan,2017,8.1,77.0,655184
1785,Thor: Ragnarok,2017,7.9,74.0,598070
1786,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,577083
1787,Wonder Woman,2017,7.4,76.0,575865
1788,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84.0,570019
1789,Dunkirk,2017,7.8,94.0,562925
1790,Spider-Man: Homecoming,2017,7.4,73.0,520700
1791,Get Out,2017,7.7,85.0,499350
1792,Blade Runner 2049,2017,8.0,81.0,468966
1793,It,2017,7.3,69.0,463725
1794,Baby Driver,2017,7.6,86.0,445218
1795,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,440186
1796,Coco,2017,8.4,81.0,393589
1797,The Shape of Water,2017,7.3,87.0,375888
1798,John Wick: Chapter 2,2017,7.5,75.0,371048
1799,Beauty and the Beast,2017,7.1,65.0,277078
1800,Kong: Skull Island,2017,6.6,62.0,275120
1801,Alien: Covenant,2017,6.4,65.0,256198
1802,Lady Bird,2017,7.4,94.0,245688
1803,War for the Planet of the Apes,2017,7.4,82.0,229737
1804,Call Me by Your Name,2017,7.9,93.0,217592
1805,Wind River,2017,7.7,73.0,209819
1806,Mother!,2017,6.6,75.0,193446
1807,"I, Tonya",2017,7.5,77.0,185013
1808,Atomic Blonde,2017,6.7,63.0,177565
1809,Darkest Hour,2017,7.4,75.0,174341
1810,American Made,2017,7.2,65.0,160119
1811,Logan,2017,8.1,77.0,655184
1812,Thor: Ragnarok,2017,7.9,74.0,598070
1813,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,577083
1814,Wonder Woman,2017,7.4,76.0,575865
1815,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84.0,570019
1816,Dunkirk,2017,7.8,94.0,562925
1817,Spider-Man: Homecoming,2017,7.4,73.0,520700
1818,Get Out,2017,7.7,85.0,499350
1819,Blade Runner 2049,2017,8.0,81.0,468966
1820,It,2017,7.3,69.0,463725
1821,Baby Driver,2017,7.6,86.0,445218
1822,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,440186
1823,Coco,2017,8.4,81.0,393589
1824,The Shape of Water,2017,7.3,87.0,375888
1825,John Wick: Chapter 2,2017,7.5,75.0,371048
1826,Beauty and the Beast,2017,7.1,65.0,277078
1827,Kong: Skull Island,2017,6.6,62.0,275120
1828,Alien: Covenant,2017,6.4,65.0,256198
1829,Lady Bird,2017,7.4,94.0,245688
1830,War for the Planet of the Apes,2017,7.4,82.0,229737
1831,Call Me by Your Name,2017,7.9,93.0,217592
1832,Wind River,2017,7.7,73.0,209819
1833,Mother!,2017,6.6,75.0,193446
1834,"I, Tonya",2017,7.5,77.0,185013
1835,Atomic Blonde,2017,6.7,63.0,177565
1836,Darkest Hour,2017,7.4,75.0,174341
1837,American Made,2017,7.2,65.0,160119
1838,Logan,2017,8.1,77.0,655184
1839,Thor: Ragnarok,2017,7.9,74.0,598070
1840,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,577083
1841,Wonder Woman,2017,7.4,76.0,575865
1842,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84.0,570019
1843,Dunkirk,2017,7.8,94.0,562925
1844,Spider-Man: Homecoming,2017,7.4,73.0,520700
1845,Get Out,2017,7.7,85.0,499350
1846,Blade Runner 2049,2017,8.0,81.0,468966
1847,It,2017,7.3,69.0,463725
1848,Baby Driver,2017,7.6,86.0,445218
1849,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,440186
1850,Coco,2017,8.4,81.0,393589
1851,The Shape of Water,2017,7.3,87.0,375888
1852,John Wick: Chapter 2,2017,7.5,75.0,371048
1853,Beauty and the Beast,2017,7.1,65.0,277078
1854,Kong: Skull Island,2017,6.6,62.0,275120
1855,Alien: Covenant,2017,6.4,65.0,256198
1856,Lady Bird,2017,7.4,94.0,245688
1857,War for the Planet of the Apes,2017,7.4,82.0,229737
1858,Call Me by Your Name,2017,7.9,93.0,217592
1859,Wind River,2017,7.7,73.0,209819
1860,Mother!,2017,6.6,75.0,193446
1861,"I, Tonya",2017,7.5,77.0,185013
1862,Atomic Blonde,2017,6.7,63.0,177565
1863,Darkest Hour,2017,7.4,75.0,174341
1864,American Made,2017,7.2,65.0,160119
1865,Logan,2017,8.1,77.0,655184
1866,Thor: Ragnarok,2017,7.9,74.0,598070
1867,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,577083
1868,Wonder Woman,2017,7.4,76.0,575865
1869,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84.0,570019
1870,Dunkirk,2017,7.8,94.0,562925
1871,Spider-Man: Homecoming,2017,7.4,73.0,520700
1872,Get Out,2017,7.7,85.0,499350
1873,Blade Runner 2049,2017,8.0,81.0,468966
1874,It,2017,7.3,69.0,463725
1875,Baby Driver,2017,7.6,86.0,445218
1876,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,440186
1877,Coco,2017,8.4,81.0,393589
1878,The Shape of Water,2017,7.3,87.0,375888
1879,John Wick: Chapter 2,2017,7.5,75.0,371048
1880,Beauty and the Beast,2017,7.1,65.0,277078
1881,Kong: Skull Island,2017,6.6,62.0,275120
1882,Alien: Covenant,2017,6.4,65.0,256198
1883,Lady Bird,2017,7.4,94.0,245688
1884,War for the Planet of the Apes,2017,7.4,82.0,229737
1885,Call Me by Your Name,2017,7.9,93.0,217592
1886,Wind River,2017,7.7,73.0,209819
1887,Mother!,2017,6.6,75.0,193446
1888,"I, Tonya",2017,7.5,77.0,185013
1889,Atomic Blonde,2017,6.7,63.0,177565
1890,Darkest Hour,2017,7.4,75.0,174341
1891,American Made,2017,7.2,65.0,160119
